branch_id,from_bus_id,to_bus_id,dist,branch_device_type,cost
100915,3001001,3001064,11.50808927,Line,26.20889897
100916,3001001,3001064,11.50808927,Line,26.20889897
100917,3001001,3001071,9.541330091,Line,21.72973727
100918,3001001,3001071,9.541330091,Line,21.72973727
100919,3001002,3001007,134.4298793,Line,306.1550047
100920,3001010,3001002,38.37433716,Line,87.39497077
100921,3001004,3001003,0,Transformer,99999
100922,3001022,3001003,6.446420772,Line,14.68128954
100923,3001055,3001003,10.82688432,Line,24.65750052
100924,3001004,3003133,67.74573767,Line,84.15619586
100925,3001006,3001005,0,Transformer,99999
100926,3001025,3001005,24.52245637,Line,55.84824431
100927,3001005,3001061,7.974711557,Line,18.16186897
100928,3001067,3001005,11.83082176,Line,26.94390049
100929,3001007,3001015,107.6083238,Line,245.0707167
100930,3001031,3001007,83.08283999,Line,189.2155776
100931,3001009,3001008,0,Transformer,99999
100932,3001008,3001032,31.12480243,Line,70.88464322
100933,3001008,3001069,10.98042002,Line,25.00716775
100934,3001011,3001010,0,Transformer,99999
100935,3001010,3001015,81.29694246,Line,185.1483162
100936,3001010,3001030,106.5173638,Line,242.5861288
100937,3001012,3001087,65.70428173,Line,149.6370805
100938,3003051,3001012,76.06490868,Line,173.2327113
100939,3001013,3001031,77.94804249,Line,177.5214218
100940,3001047,3001013,21.77286603,Line,49.58623734
100941,3001086,3001013,54.62963848,Line,124.4153257
100942,3001014,3001047,47.51249636,Line,108.2065135
100943,3001014,3001083,54.66075142,Line,124.4861834
100944,3001016,3001034,31.58360028,Line,71.92952445
100945,3001068,3001016,47.91751964,Line,109.1289267
100946,3001018,3001017,22.27994938,Line,50.74108556
100947,3001017,3001029,43.26482623,Line,98.53273054
100948,3001037,3001017,9.99424767,Line,22.76122658
100949,3001047,3001017,54.28742732,Line,123.6359628
100950,3001024,3001018,18.91522576,Line,43.07815391
100951,3001019,3001040,66.32108962,Line,151.041819
100952,3001019,3001045,10.56551034,Line,24.06223886
100953,3001019,3001071,23.97001402,Line,54.59009404
100954,3001071,3001019,23.97001402,Line,54.59009404
100955,3001019,3001084,78.82837433,Line,179.5263183
100956,3001021,3001020,0,Transformer,99999
100957,3001025,3001020,11.00183407,Line,25.0559368
100958,3001084,3001020,18.19000967,Line,41.42652307
100959,3001020,3003059,19.29860166,Line,43.95126672
100960,3001020,3003130,21.87636989,Line,49.82196041
100961,3001023,3001022,0,Transformer,99999
100962,3001022,3001028,31.47948146,Line,71.69240084
100963,3001022,3001028,31.47948146,Line,71.69240084
100964,3001024,3001090,18.79894804,Line,42.81333923
100965,3001026,3001025,0,Transformer,99999
100966,3001027,3001045,33.39801328,Line,76.06172796
100967,3001056,3001027,21.53417849,Line,49.04264251
100968,3001028,3003109,5.734334903,Line,13.05956189
100969,3001029,3001056,35.4625593,Line,80.7635926
100970,3001030,3001038,127.9521294,Line,291.402365
100971,3001083,3001030,112.9777959,Line,257.2993281
100972,3001033,3001032,0,Transformer,99999
100973,3001032,3001036,33.76161562,Line,76.88980782
