branch_id,from_bus_id,to_bus_id,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt,mu_Sf,mu_St,mu_angmin,mu_angmax,branch_device_type,interconnect,from_zone_id,to_zone_id,from_zone_name,to_zone_name,from_lat,from_lon,to_lat,to_lon
100915,3001001,3001064,0.00524,0.0358,0.00609,221.0,0.0,0.0,0.0,0.0,1,0,0,67.57,4.5,-67.33,-3.46,0,0,0,0,Line,Texas,301,301,Far West,Far West,31.9067,-102.262,32.0011,-102.312
100916,3001001,3001064,0.00524,0.0358,0.00609,221.0,0.0,0.0,0.0,0.0,1,0,0,67.57,4.5,-67.33,-3.46,0,0,0,0,Line,Texas,301,301,Far West,Far West,31.9067,-102.262,32.0011,-102.312
100917,3001001,3001071,0.00435,0.02808,0.00536,221.0,0.0,0.0,0.0,0.0,1,0,0,-77.96,-7.45,78.23,8.64,0,0,0,0,Line,Texas,301,301,Far West,Far West,31.9067,-102.262,31.8403,-102.326
100918,3001001,3001071,0.00435,0.02808,0.00536,221.0,0.0,0.0,0.0,0.0,1,0,0,-77.96,-7.45,78.23,8.64,0,0,0,0,Line,Texas,301,301,Far West,Far West,31.9067,-102.262,31.8403,-102.326
100919,3001002,3001007,0.07776,0.46693,0.06336,98.0,0.0,0.0,0.0,0.0,1,0,0,1.12,-5.05,-1.12,-1.61,0,0,0,0,Line,Texas,301,301,Far West,Far West,29.888,-104.519,31.0935,-104.625
100920,3001010,3001002,0.05552,0.1357,0.01777,98.0,0.0,0.0,0.0,0.0,1,0,0,16.68,-2.2,-16.53,0.68,0,0,0,0,Line,Texas,301,301,Far West,Far West,29.6,-104.3,29.888,-104.519
100921,3001004,3001003,0.0045,0.11582,0.0,250.0,0.0,0.0,1.0,0.0,1,0,0,-28.13,6.79,28.16,-5.85,0,0,0,0,Transformer,Texas,301,301,Far West,Far West,32.9264,-101.648,32.9264,-101.648
100922,3001022,3001003,0.00485,0.02012,0.00341,221.0,0.0,0.0,0.0,0.0,1,0,0,74.87,-4.97,-74.6,5.71,0,0,0,0,Line,Texas,301,301,Far West,Far West,32.929,-101.579,32.9264,-101.648
100923,3001055,3001003,0.01574,0.03782,0.00513,196.0,0.0,0.0,0.0,0.0,1,0,0,-46.11,0.13,46.44,0.14,0,0,0,0,Line,Texas,301,301,Far West,Far West,32.927,-101.764,32.9264,-101.648
100924,3001004,3003133,0.0042,0.03,0.055,523.0,0.0,0.0,0.0,0.0,1,0,0,186.38,-37.17,-184.93,41.78,0,0,0,0,Line,Texas,301,303,Far West,West,32.9264,-101.648,32.7471,-100.955
