bus_id,type,Pd,Qd,Gs,Bs,zone_id,Vm,Va,baseKV,loss_zone,Vmax,Vmin,lam_P,lam_Q,mu_Vmax,mu_Vmin,interconnect,lat,lon
3001001,1,20.78,5.89,0,0.0,301,0.998372,-22.3462,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.9067,-102.262
3001002,1,15.41,4.37,0,0.0,301,1.02291,-17.8585,115.0,9,1.1,0.9,0.0,0,0,0,Texas,29.888,-104.519
3001003,1,0.0,0.0,0,0.0,301,1.0141,-17.5032,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.9264,-101.648
3001004,2,0.0,0.0,0,0.0,301,1.02005,-19.3247,230.0,9,1.1,0.9,0.0,0,0,0,Texas,32.9264,-101.648
3001005,1,0.0,0.0,0,0.0,301,1.01238,-15.9276,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.2075,-101.388
3001006,2,0.0,0.0,0,0.0,301,1.00599,-13.7815,13.8,9,1.1,0.9,0.0,0,0,0,Texas,32.2075,-101.388
3001007,1,7.01,1.99,0,-0.77,301,1.03,-18.2162,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.0935,-104.625
3001008,1,0.0,0.0,0,0.0,301,1.02615,-8.58995,115.0,9,1.1,0.9,0.0,0,0,0,Texas,30.9315,-102.201
3001009,2,0.0,0.0,0,0.0,301,1.0162,-5.33886,13.8,9,1.1,0.9,0.0,0,0,0,Texas,30.9315,-102.201
3001010,1,0.0,0.0,0,-3.33,301,1.03,-16.5896,115.0,9,1.1,0.9,0.0,0,0,0,Texas,29.6,-104.3
3001011,2,0.0,0.0,0,0.0,301,1.03022,-14.8392,22.0,9,1.1,0.9,0.0,0,0,0,Texas,29.6,-104.3
3001012,1,2.99,0.85,0,11.3,301,1.03,-25.191,115.0,9,1.1,0.9,0.0,0,0,0,Texas,30.0281,-101.97
3001013,1,29.23,8.28,0,0.0,301,1.01428,-15.1971,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.4846,-103.161
3001014,1,2.22,0.63,0,0.0,301,1.02099,-11.7776,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.1695,-103.085
3001015,1,7.51,2.13,0,0.0,301,1.03195,-17.9787,115.0,9,1.1,0.9,0.0,0,0,0,Texas,30.2853,-104.006
3001016,1,2.89,0.82,0,39.43,301,1.03,-15.3915,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.7631,-101.502
3001017,1,18.34,5.2,0,0.0,301,0.996559,-21.1078,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.7252,-102.414
3001018,1,0.07,0.02,0,0.0,301,1.0003,-19.8254,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.7992,-102.633
3001019,1,61.78,17.5,0,261.44,301,1.03,-22.082,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.9794,-102.132
3001020,1,0.0,0.0,0,71.32,301,1.03,-15.1575,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.9925,-101.117
3001021,2,0.0,0.0,0,0.0,301,1.00587,-8.62704,13.8,9,1.1,0.9,0.0,0,0,0,Texas,31.9925,-101.117
3001022,1,0.0,0.0,0,0.0,301,1.01661,-16.6531,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.929,-101.579
3001023,2,0.0,0.0,0,0.0,301,1.01,-7.77476,13.8,9,1.1,0.9,0.0,0,0,0,Texas,32.929,-101.579
3001024,1,63.04,17.86,0,0.0,301,0.999026,-18.8019,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.9693,-102.631
3001025,1,0.0,0.0,0,0.0,301,1.02427,-14.0817,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.039,-101.22
3001026,2,0.0,0.0,0,0.0,301,1.0,-4.61708,13.8,9,1.1,0.9,0.0,0,0,0,Texas,32.039,-101.22
3001027,1,101.21,28.68,0,88.7,301,1.03,-25.5841,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.3217,-102.042
3001028,1,10.01,2.84,0,0.0,301,1.01989,-18.2276,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.8795,-101.247
3001029,1,83.18,23.57,0,61.2,301,1.03,-24.6101,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.9924,-102.081
3001030,1,24.63,6.98,0,0.0,301,1.02256,-13.3008,115.0,9,1.1,0.9,0.0,0,0,0,Texas,29.8021,-103.222
3001031,1,9.25,2.62,0,0.0,301,1.02159,-17.4156,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.005,-103.759
3001032,1,0.0,0.0,0,0.0,301,1.00988,-12.2347,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.2092,-102.242
3001033,2,0.0,0.0,0,61.95,301,1.03004,-16.769,230.0,9,1.1,0.9,0.0,0,0,0,Texas,31.2092,-102.242
3001034,1,0.0,0.0,0,0.0,301,1.01013,-14.1633,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.9914,-101.303
3001035,2,0.0,0.0,0,0.0,301,1.00042,-10.8778,13.8,9,1.1,0.9,0.0,0,0,0,Texas,31.9914,-101.303
3001036,1,13.6,3.85,0,0.0,301,1.00226,-12.4195,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.1869,-102.596
3001037,1,102.24,28.97,0,0.0,301,0.990493,-22.1747,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.7992,-102.474
3001038,1,0.0,0.0,0,0.0,301,1.02516,-7.64916,115.0,9,1.1,0.9,0.0,0,0,0,Texas,30.7726,-102.506
3001039,2,0.0,0.0,0,0.0,301,1.0048,-2.33133,22.0,9,1.1,0.9,0.0,0,0,0,Texas,30.7726,-102.506
3001040,1,44.36,12.57,0,0.0,301,1.00614,-20.1249,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.3357,-102.697
3001041,1,0.0,0.0,0,0.0,301,1.00661,-14.9184,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.1408,-101.399
3001042,2,0.0,0.0,0,0.0,301,1.00661,-14.9184,13.8,9,1.1,0.9,0.0,0,0,0,Texas,32.1408,-101.399
3001043,2,0.0,0.0,0,0.0,301,1.0,-11.6843,13.8,9,1.1,0.9,0.0,0,0,0,Texas,32.1408,-101.399
3001044,1,14.68,4.16,0,0.0,301,1.01792,-25.6916,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.2726,-101.173
3001045,1,98.56,27.93,0,0.0,301,1.00344,-24.0542,115.0,9,1.1,0.9,0.0,0,0,0,Texas,32.0536,-102.202
3001046,1,11.08,3.14,0,13.12,301,1.03,-22.3261,115.0,9,1.1,0.9,0.0,0,0,0,Texas,30.5756,-101.331
3001047,1,0.0,0.0,0,0.0,301,1.01175,-13.1298,115.0,9,1.1,0.9,0.0,0,0,0,Texas,31.5839,-102.963
3001048,2,0.0,0.0,0,0.0,301,1.01175,-13.1298,18.0,9,1.1,0.9,0.0,0,0,0,Texas,31.5839,-102.963
